# 汉字 绝对偏移(十六进制)  (从文件头开始)
狗 0x0002D77C
垢 0x0002D7FC
构 0x0002D87C
购 0x0002D8FC
够 0x0002D97C
辜 0x0002D9FC
菇 0x0002DA7C
咕 0x0002DAFC
箍 0x0002DB7C
估 0x0002DBFC
沽 0x0002DC7C
孤 0x0002DCFC
姑 0x0002DD7C
鼓 0x0002DDFC
古 0x0002DE7C
蛊 0x0002DEFC
骨 0x0002DF7C
谷 0x0002DFFC
股 0x0002E07C
故 0x0002E0FC
顾 0x0002E17C
固 0x0002E1FC
雇 0x0002E27C
刮 0x0002E2FC
瓜 0x0002E37C
剐 0x0002E3FC
寡 0x0002E47C
挂 0x0002E4FC
褂 0x0002E57C
乖 0x0002E5FC
拐 0x0002E67C
怪 0x0002E6FC
棺 0x0002E77C
关 0x0002E7FC
官 0x0002E87C
冠 0x0002E8FC
观 0x0002E97C
管 0x0002E9FC
馆 0x0002EA7C
罐 0x0002EAFC
惯 0x0002EB7C
灌 0x0002EBFC
贯 0x0002EC7C
光 0x0002ECFC
广 0x0002ED7C
逛 0x0002EDFC
瑰 0x0002EE7C
规 0x0002EEFC
圭 0x0002EF7C
硅 0x0002EFFC
归 0x0002F07C
龟 0x0002F0FC
闺 0x0002F17C
轨 0x0002F1FC
鬼 0x0002F27C
诡 0x0002F2FC
癸 0x0002F37C
桂 0x0002F3FC
柜 0x0002F47C
跪 0x0002F4FC
贵 0x0002F57C
刽 0x0002F5FC
辊 0x0002F67C
滚 0x0002F6FC
棍 0x0002F77C
锅 0x0002F7FC
郭 0x0002F87C
国 0x0002F8FC
果 0x0002F97C
裹 0x0002F9FC
过 0x0002FA7C
哈 0x0002FAFC
骸 0x0002FB7C
孩 0x0002FBFC
海 0x0002FC7C
氦 0x0002FCFC
亥 0x0002FD7C
害 0x0002FDFC
骇 0x0002FE7C
酣 0x0002FEFC
憨 0x0002FF7C
邯 0x0002FFFC
韩 0x0003007C
含 0x000300FC
涵 0x0003017C
寒 0x000301FC
函 0x0003027C
喊 0x000302FC
罕 0x0003037C
翰 0x000303FC
撼 0x0003047C
捍 0x000304FC
旱 0x0003057C
憾 0x000305FC
悍 0x0003067C
焊 0x000306FC
汗 0x0003077C
汉 0x000307FC
夯 0x0003087C
杭 0x000308FC
航 0x0003097C
壕 0x000309FC
嚎 0x00030A7C
豪 0x00030AFC
毫 0x00030B7C
郝 0x00030BFC
好 0x00030C7C
耗 0x00030CFC
号 0x00030D7C
浩 0x00030DFC
呵 0x00030E7C
喝 0x00030EFC
荷 0x00030F7C
菏 0x00030FFC
核 0x0003107C
禾 0x000310FC
和 0x0003117C
何 0x000311FC
合 0x0003127C
盒 0x000312FC
貉 0x0003137C
阂 0x000313FC
河 0x0003147C
涸 0x000314FC
赫 0x0003157C
褐 0x000315FC
鹤 0x0003167C
贺 0x000316FC
嘿 0x0003177C
黑 0x000317FC
痕 0x0003187C
很 0x000318FC
狠 0x0003197C
恨 0x000319FC
哼 0x00031A7C
亨 0x00031AFC
横 0x00031B7C
衡 0x00031BFC
恒 0x00031C7C
轰 0x00031CFC
哄 0x00031D7C
烘 0x00031DFC
虹 0x00031E7C
鸿 0x00031EFC
洪 0x00031F7C
宏 0x00031FFC
弘 0x0003207C
红 0x000320FC
喉 0x0003217C
侯 0x000321FC
猴 0x0003227C
吼 0x000322FC
厚 0x0003237C
候 0x000323FC
后 0x0003247C
呼 0x000324FC
乎 0x0003257C
忽 0x000325FC
瑚 0x0003267C
壶 0x000326FC
葫 0x0003277C
胡 0x000327FC
蝴 0x0003287C
狐 0x000328FC
糊 0x0003297C
湖 0x000329FC
弧 0x00032A7C
虎 0x00032AFC
唬 0x00032B7C
护 0x00032BFC
互 0x00032C7C
沪 0x00032CFC
户 0x00032D7C
花 0x00032DFC
哗 0x00032E7C
华 0x00032EFC
猾 0x00032F7C
滑 0x00032FFC
画 0x0003307C
划 0x000330FC
化 0x0003317C
话 0x000331FC
槐 0x0003327C
徊 0x000332FC
怀 0x0003337C
淮 0x000333FC
坏 0x0003347C
欢 0x000334FC
环 0x0003357C
桓 0x000335FC
还 0x0003367C
缓 0x000336FC
换 0x0003377C
患 0x000337FC
唤 0x0003387C
痪 0x000338FC
豢 0x0003397C
焕 0x000339FC
涣 0x00033A7C
宦 0x00033AFC
幻 0x00033B7C
荒 0x00033BFC
慌 0x00033C7C
黄 0x00033CFC
磺 0x00033D7C
蝗 0x00033DFC
簧 0x00033E7C
皇 0x00033EFC
凰 0x00033F7C
惶 0x00033FFC
煌 0x0003407C
晃 0x000340FC
幌 0x0003417C
恍 0x000341FC
谎 0x0003427C
