16x16 汉字点阵字库索引表 (按 Unicode 排序)
字符数量: 3755
固定尺寸: 16x16
字体: C:/Windows/Fonts/msyh.ttc

序号     字符   Unicode      偏移(Hex)      宽度     高度     pitch 
443    厚    0x0000539A   0x00003760     16     16     2     
444    原    0x0000539F   0x00003780     16     16     2     
445    厢    0x000053A2   0x000037A0     16     16     2     
446    厦    0x000053A6   0x000037C0     16     16     2     
447    厨    0x000053A8   0x000037E0     16     16     2     
448    厩    0x000053A9   0x00003800     16     16     2     
449    去    0x000053BB   0x00003820     16     16     2     
450    县    0x000053BF   0x00003840     16     16     2     
451    叁    0x000053C1   0x00003860     16     16     2     
452    参    0x000053C2   0x00003880     16     16     2     
453    又    0x000053C8   0x000038A0     16     16     2     
454    叉    0x000053C9   0x000038C0     16     16     2     
455    及    0x000053CA   0x000038E0     16     16     2     
456    友    0x000053CB   0x00003900     16     16     2     
457    双    0x000053CC   0x00003920     16     16     2     
458    反    0x000053CD   0x00003940     16     16     2     
459    发    0x000053D1   0x00003960     16     16     2     
460    叔    0x000053D4   0x00003980     16     16     2     
461    取    0x000053D6   0x000039A0     16     16     2     
462    受    0x000053D7   0x000039C0     16     16     2     
463    变    0x000053D8   0x000039E0     16     16     2     
464    叙    0x000053D9   0x00003A00     16     16     2     
465    叛    0x000053DB   0x00003A20     16     16     2     
466    叠    0x000053E0   0x00003A40     16     16     2     
467    口    0x000053E3   0x00003A60     16     16     2     
468    古    0x000053E4   0x00003A80     16     16     2     
469    句    0x000053E5   0x00003AA0     16     16     2     
470    另    0x000053E6   0x00003AC0     16     16     2     
471    只    0x000053EA   0x00003AE0     16     16     2     
472    叫    0x000053EB   0x00003B00     16     16     2     
473    召    0x000053EC   0x00003B20     16     16     2     
474    叭    0x000053ED   0x00003B40     16     16     2     
475    叮    0x000053EE   0x00003B60     16     16     2     
476    可    0x000053EF   0x00003B80     16     16     2     
477    台    0x000053F0   0x00003BA0     16     16     2     
478    史    0x000053F2   0x00003BC0     16     16     2     
479    右    0x000053F3   0x00003BE0     16     16     2     
480    叶    0x000053F6   0x00003C00     16     16     2     
481    号    0x000053F7   0x00003C20     16     16     2     
482    司    0x000053F8   0x00003C40     16     16     2     
483    叹    0x000053F9   0x00003C60     16     16     2     
484    叼    0x000053FC   0x00003C80     16     16     2     
485    吁    0x00005401   0x00003CA0     16     16     2     
486    吃    0x00005403   0x00003CC0     16     16     2     
487    各    0x00005404   0x00003CE0     16     16     2     
488    合    0x00005408   0x00003D00     16     16     2     
489    吉    0x00005409   0x00003D20     16     16     2     
490    吊    0x0000540A   0x00003D40     16     16     2     
491    同    0x0000540C   0x00003D60     16     16     2     
492    名    0x0000540D   0x00003D80     16     16     2     
493    后    0x0000540E   0x00003DA0     16     16     2     
494    吏    0x0000540F   0x00003DC0     16     16     2     
495    吐    0x00005410   0x00003DE0     16     16     2     
496    向    0x00005411   0x00003E00     16     16     2     
497    吓    0x00005413   0x00003E20     16     16     2     
498    吕    0x00005415   0x00003E40     16     16     2     
499    吗    0x00005417   0x00003E60     16     16     2     
500    君    0x0000541B   0x00003E80     16     16     2     
501    吝    0x0000541D   0x00003EA0     16     16     2     
502    吞    0x0000541E   0x00003EC0     16     16     2     
503    吟    0x0000541F   0x00003EE0     16     16     2     
504    吠    0x00005420   0x00003F00     16     16     2     
505    否    0x00005426   0x00003F20     16     16     2     
506    吧    0x00005427   0x00003F40     16     16     2     
507    吨    0x00005428   0x00003F60     16     16     2     
508    吩    0x00005429   0x00003F80     16     16     2     
509    含    0x0000542B   0x00003FA0     16     16     2     
510    听    0x0000542C   0x00003FC0     16     16     2     
511    吭    0x0000542D   0x00003FE0     16     16     2     
512    吮    0x0000542E   0x00004000     16     16     2     
513    启    0x0000542F   0x00004020     16     16     2     
514    吱    0x00005431   0x00004040     16     16     2     
515    吴    0x00005434   0x00004060     16     16     2     
516    吵    0x00005435   0x00004080     16     16     2     
517    吸    0x00005438   0x000040A0     16     16     2     
518    吹    0x00005439   0x000040C0     16     16     2     
519    吻    0x0000543B   0x000040E0     16     16     2     
520    吼    0x0000543C   0x00004100     16     16     2     
521    吾    0x0000543E   0x00004120     16     16     2     
522    呀    0x00005440   0x00004140     16     16     2     
523    呆    0x00005446   0x00004160     16     16     2     
524    呈    0x00005448   0x00004180     16     16     2     
525    告    0x0000544A   0x000041A0     16     16     2     
526    呐    0x00005450   0x000041C0     16     16     2     
527    呕    0x00005455   0x000041E0     16     16     2     
528    员    0x00005458   0x00004200     16     16     2     
529    呛    0x0000545B   0x00004220     16     16     2     
530    呜    0x0000545C   0x00004240     16     16     2     
531    呢    0x00005462   0x00004260     16     16     2     
