# 汉字 绝对偏移(十六进制)  (从文件头开始)
拱 0x0001911C
贡 0x0001913C
共 0x0001915C
钩 0x0001917C
勾 0x0001919C
沟 0x000191BC
苟 0x000191DC
狗 0x000191FC
垢 0x0001921C
构 0x0001923C
购 0x0001925C
够 0x0001927C
辜 0x0001929C
菇 0x000192BC
咕 0x000192DC
箍 0x000192FC
估 0x0001931C
沽 0x0001933C
孤 0x0001935C
姑 0x0001937C
鼓 0x0001939C
古 0x000193BC
蛊 0x000193DC
骨 0x000193FC
谷 0x0001941C
股 0x0001943C
故 0x0001945C
顾 0x0001947C
固 0x0001949C
雇 0x000194BC
刮 0x000194DC
瓜 0x000194FC
剐 0x0001951C
寡 0x0001953C
挂 0x0001955C
褂 0x0001957C
乖 0x0001959C
拐 0x000195BC
怪 0x000195DC
棺 0x000195FC
关 0x0001961C
官 0x0001963C
冠 0x0001965C
观 0x0001967C
管 0x0001969C
馆 0x000196BC
罐 0x000196DC
惯 0x000196FC
灌 0x0001971C
贯 0x0001973C
光 0x0001975C
广 0x0001977C
逛 0x0001979C
瑰 0x000197BC
规 0x000197DC
圭 0x000197FC
硅 0x0001981C
归 0x0001983C
龟 0x0001985C
闺 0x0001987C
轨 0x0001989C
鬼 0x000198BC
诡 0x000198DC
癸 0x000198FC
桂 0x0001991C
柜 0x0001993C
跪 0x0001995C
贵 0x0001997C
刽 0x0001999C
辊 0x000199BC
滚 0x000199DC
棍 0x000199FC
锅 0x00019A1C
郭 0x00019A3C
国 0x00019A5C
果 0x00019A7C
裹 0x00019A9C
过 0x00019ABC
哈 0x00019ADC
骸 0x00019AFC
孩 0x00019B1C
海 0x00019B3C
氦 0x00019B5C
亥 0x00019B7C
害 0x00019B9C
骇 0x00019BBC
酣 0x00019BDC
憨 0x00019BFC
邯 0x00019C1C
韩 0x00019C3C
含 0x00019C5C
涵 0x00019C7C
寒 0x00019C9C
函 0x00019CBC
喊 0x00019CDC
罕 0x00019CFC
翰 0x00019D1C
撼 0x00019D3C
捍 0x00019D5C
旱 0x00019D7C
憾 0x00019D9C
悍 0x00019DBC
焊 0x00019DDC
汗 0x00019DFC
汉 0x00019E1C
夯 0x00019E3C
杭 0x00019E5C
航 0x00019E7C
壕 0x00019E9C
嚎 0x00019EBC
豪 0x00019EDC
毫 0x00019EFC
郝 0x00019F1C
好 0x00019F3C
耗 0x00019F5C
号 0x00019F7C
浩 0x00019F9C
呵 0x00019FBC
喝 0x00019FDC
荷 0x00019FFC
菏 0x0001A01C
核 0x0001A03C
禾 0x0001A05C
和 0x0001A07C
何 0x0001A09C
合 0x0001A0BC
盒 0x0001A0DC
貉 0x0001A0FC
阂 0x0001A11C
河 0x0001A13C
涸 0x0001A15C
赫 0x0001A17C
褐 0x0001A19C
鹤 0x0001A1BC
贺 0x0001A1DC
嘿 0x0001A1FC
黑 0x0001A21C
痕 0x0001A23C
很 0x0001A25C
狠 0x0001A27C
恨 0x0001A29C
哼 0x0001A2BC
亨 0x0001A2DC
横 0x0001A2FC
衡 0x0001A31C
恒 0x0001A33C
轰 0x0001A35C
哄 0x0001A37C
烘 0x0001A39C
虹 0x0001A3BC
鸿 0x0001A3DC
洪 0x0001A3FC
宏 0x0001A41C
弘 0x0001A43C
红 0x0001A45C
喉 0x0001A47C
侯 0x0001A49C
猴 0x0001A4BC
吼 0x0001A4DC
厚 0x0001A4FC
候 0x0001A51C
后 0x0001A53C
呼 0x0001A55C
乎 0x0001A57C
忽 0x0001A59C
瑚 0x0001A5BC
壶 0x0001A5DC
葫 0x0001A5FC
胡 0x0001A61C
蝴 0x0001A63C
狐 0x0001A65C
糊 0x0001A67C
湖 0x0001A69C
弧 0x0001A6BC
虎 0x0001A6DC
唬 0x0001A6FC
护 0x0001A71C
互 0x0001A73C
沪 0x0001A75C
户 0x0001A77C
花 0x0001A79C
哗 0x0001A7BC
华 0x0001A7DC
猾 0x0001A7FC
滑 0x0001A81C
画 0x0001A83C
划 0x0001A85C
化 0x0001A87C
话 0x0001A89C
槐 0x0001A8BC
徊 0x0001A8DC
怀 0x0001A8FC
淮 0x0001A91C
坏 0x0001A93C
欢 0x0001A95C
环 0x0001A97C
桓 0x0001A99C
还 0x0001A9BC
缓 0x0001A9DC
换 0x0001A9FC
患 0x0001AA1C
唤 0x0001AA3C
痪 0x0001AA5C
豢 0x0001AA7C
焕 0x0001AA9C
涣 0x0001AABC
宦 0x0001AADC
幻 0x0001AAFC
荒 0x0001AB1C
慌 0x0001AB3C
黄 0x0001AB5C
磺 0x0001AB7C
蝗 0x0001AB9C
簧 0x0001ABBC
皇 0x0001ABDC
凰 0x0001ABFC
惶 0x0001AC1C
煌 0x0001AC3C
晃 0x0001AC5C
幌 0x0001AC7C
恍 0x0001AC9C
谎 0x0001ACBC
灰 0x0001ACDC
挥 0x0001ACFC
辉 0x0001AD1C
徽 0x0001AD3C
恢 0x0001AD5C
蛔 0x0001AD7C
回 0x0001AD9C
毁 0x0001ADBC
悔 0x0001ADDC
慧 0x0001ADFC
卉 0x0001AE1C
惠 0x0001AE3C
晦 0x0001AE5C
贿 0x0001AE7C
秽 0x0001AE9C
会 0x0001AEBC
烩 0x0001AEDC
汇 0x0001AEFC
讳 0x0001AF1C
诲 0x0001AF3C
绘 0x0001AF5C
荤 0x0001AF7C
昏 0x0001AF9C
婚 0x0001AFBC
魂 0x0001AFDC
浑 0x0001AFFC
混 0x0001B01C
豁 0x0001B03C
活 0x0001B05C
伙 0x0001B07C
火 0x0001B09C
获 0x0001B0BC
或 0x0001B0DC
惑 0x0001B0FC
霍 0x0001B11C
货 0x0001B13C
祸 0x0001B15C
击 0x0001B17C
圾 0x0001B19C
基 0x0001B1BC
机 0x0001B1DC
畸 0x0001B1FC
稽 0x0001B21C
积 0x0001B23C
箕 0x0001B25C
肌 0x0001B27C
饥 0x0001B29C
迹 0x0001B2BC
激 0x0001B2DC
讥 0x0001B2FC
鸡 0x0001B31C
姬 0x0001B33C
绩 0x0001B35C
缉 0x0001B37C
吉 0x0001B39C
极 0x0001B3BC
棘 0x0001B3DC
辑 0x0001B3FC
籍 0x0001B41C
集 0x0001B43C
及 0x0001B45C
急 0x0001B47C
疾 0x0001B49C
汲 0x0001B4BC
即 0x0001B4DC
嫉 0x0001B4FC
级 0x0001B51C
挤 0x0001B53C
几 0x0001B55C
脊 0x0001B57C
己 0x0001B59C
蓟 0x0001B5BC
技 0x0001B5DC
冀 0x0001B5FC
季 0x0001B61C
伎 0x0001B63C
祭 0x0001B65C
剂 0x0001B67C
悸 0x0001B69C
济 0x0001B6BC
寄 0x0001B6DC
寂 0x0001B6FC
计 0x0001B71C
记 0x0001B73C
既 0x0001B75C
忌 0x0001B77C
际 0x0001B79C
妓 0x0001B7BC
继 0x0001B7DC
纪 0x0001B7FC
嘉 0x0001B81C
枷 0x0001B83C
夹 0x0001B85C
佳 0x0001B87C
家 0x0001B89C
加 0x0001B8BC
荚 0x0001B8DC
颊 0x0001B8FC
贾 0x0001B91C
甲 0x0001B93C
钾 0x0001B95C
假 0x0001B97C
稼 0x0001B99C
价 0x0001B9BC
架 0x0001B9DC
驾 0x0001B9FC
嫁 0x0001BA1C
歼 0x0001BA3C
监 0x0001BA5C
坚 0x0001BA7C
尖 0x0001BA9C
笺 0x0001BABC
间 0x0001BADC
煎 0x0001BAFC
兼 0x0001BB1C
肩 0x0001BB3C
艰 0x0001BB5C
奸 0x0001BB7C
缄 0x0001BB9C
茧 0x0001BBBC
检 0x0001BBDC
柬 0x0001BBFC
碱 0x0001BC1C
硷 0x0001BC3C
拣 0x0001BC5C
捡 0x0001BC7C
简 0x0001BC9C
俭 0x0001BCBC
剪 0x0001BCDC
减 0x0001BCFC
荐 0x0001BD1C
槛 0x0001BD3C
